threshold,fault,model,seed,first_detection_step,censor_step
3e-06,param_wrong,cnn,302,2.0,50
3e-06,param_wrong,mlp,300,2.0,50
3e-06,param_wrong,mlp,301,2.0,50
3e-06,param_wrong,mlp,302,2.0,50
3e-06,param_wrong,tiny_causal_lm,300,2.0,50
3e-06,param_wrong,tiny_causal_lm,301,2.0,50
3e-06,param_wrong,tiny_causal_lm,302,2.0,50
3e-06,param_wrong,transformer,300,2.0,50
3e-06,param_wrong,transformer,301,2.0,50
3e-06,param_wrong,transformer,302,2.0,50
2e-06,none,cnn,300,24.0,50
2e-06,none,cnn,301,4.0,50
2e-06,none,cnn,302,n/a,50
2e-06,none,mlp,300,n/a,50
2e-06,none,mlp,301,n/a,50
2e-06,none,mlp,302,2.0,50
2e-06,none,tiny_causal_lm,300,19.0,50
2e-06,none,tiny_causal_lm,301,20.0,50
2e-06,none,tiny_causal_lm,302,15.0,50
2e-06,none,transformer,300,n/a,50
2e-06,none,transformer,301,n/a,50
2e-06,none,transformer,302,n/a,50
2e-06,grad_wrong,cnn,300,2.0,50
2e-06,grad_wrong,cnn,301,2.0,50
2e-06,grad_wrong,cnn,302,2.0,50
2e-06,grad_wrong,mlp,300,2.0,50
2e-06,grad_wrong,mlp,301,2.0,50
2e-06,grad_wrong,mlp,302,2.0,50
2e-06,grad_wrong,tiny_causal_lm,300,2.0,50
2e-06,grad_wrong,tiny_causal_lm,301,2.0,50
2e-06,grad_wrong,tiny_causal_lm,302,2.0,50
2e-06,grad_wrong,transformer,300,2.0,50
2e-06,grad_wrong,transformer,301,2.0,50
2e-06,grad_wrong,transformer,302,2.0,50
2e-06,param_wrong,cnn,300,2.0,50
2e-06,param_wrong,cnn,301,3.0,50
2e-06,param_wrong,cnn,302,2.0,50
2e-06,param_wrong,mlp,300,2.0,50
2e-06,param_wrong,mlp,301,2.0,50
2e-06,param_wrong,mlp,302,2.0,50
2e-06,param_wrong,tiny_causal_lm,300,2.0,50
2e-06,param_wrong,tiny_causal_lm,301,2.0,50
2e-06,param_wrong,tiny_causal_lm,302,2.0,50
2e-06,param_wrong,transformer,300,2.0,50
2e-06,param_wrong,transformer,301,2.0,50
2e-06,param_wrong,transformer,302,2.0,50
1e-06,none,cnn,300,18.0,50
1e-06,none,cnn,301,4.0,50
1e-06,none,cnn,302,n/a,50
1e-06,none,mlp,300,1.0,50
1e-06,none,mlp,301,7.0,50
1e-06,none,mlp,302,1.0,50
1e-06,none,tiny_causal_lm,300,1.0,50
1e-06,none,tiny_causal_lm,301,1.0,50
1e-06,none,tiny_causal_lm,302,1.0,50
1e-06,none,transformer,300,n/a,50
1e-06,none,transformer,301,n/a,50
1e-06,none,transformer,302,n/a,50
1e-06,grad_wrong,cnn,300,2.0,50
1e-06,grad_wrong,cnn,301,2.0,50
1e-06,grad_wrong,cnn,302,2.0,50
1e-06,grad_wrong,mlp,300,1.0,50
1e-06,grad_wrong,mlp,301,2.0,50
1e-06,grad_wrong,mlp,302,1.0,50
1e-06,grad_wrong,tiny_causal_lm,300,1.0,50
1e-06,grad_wrong,tiny_causal_lm,301,1.0,50
1e-06,grad_wrong,tiny_causal_lm,302,1.0,50
1e-06,grad_wrong,transformer,300,2.0,50
1e-06,grad_wrong,transformer,301,2.0,50
1e-06,grad_wrong,transformer,302,2.0,50
1e-06,param_wrong,cnn,300,2.0,50
1e-06,param_wrong,cnn,301,3.0,50
1e-06,param_wrong,cnn,302,2.0,50
1e-06,param_wrong,mlp,300,1.0,50
1e-06,param_wrong,mlp,301,2.0,50
1e-06,param_wrong,mlp,302,1.0,50
1e-06,param_wrong,tiny_causal_lm,300,1.0,50
1e-06,param_wrong,tiny_causal_lm,301,1.0,50
1e-06,param_wrong,tiny_causal_lm,302,1.0,50
1e-06,param_wrong,transformer,300,2.0,50
1e-06,param_wrong,transformer,301,2.0,50
1e-06,param_wrong,transformer,302,2.0,50
0.0,none,cnn,300,3.0,50
0.0,none,cnn,301,1.0,50
0.0,none,cnn,302,1.0,50
0.0,none,mlp,300,1.0,50
0.0,none,mlp,301,1.0,50
0.0,none,mlp,302,1.0,50
0.0,none,tiny_causal_lm,300,1.0,50
0.0,none,tiny_causal_lm,301,1.0,50
0.0,none,tiny_causal_lm,302,1.0,50
0.0,none,transformer,300,2.0,50
0.0,none,transformer,301,4.0,50
0.0,none,transformer,302,1.0,50
0.0,grad_wrong,cnn,300,2.0,50
0.0,grad_wrong,cnn,301,1.0,50
0.0,grad_wrong,cnn,302,1.0,50
0.0,grad_wrong,mlp,300,1.0,50
0.0,grad_wrong,mlp,301,1.0,50
0.0,grad_wrong,mlp,302,1.0,50
0.0,grad_wrong,tiny_causal_lm,300,1.0,50
0.0,grad_wrong,tiny_causal_lm,301,1.0,50
0.0,grad_wrong,tiny_causal_lm,302,1.0,50
0.0,grad_wrong,transformer,300,2.0,50
0.0,grad_wrong,transformer,301,2.0,50
0.0,grad_wrong,transformer,302,1.0,50
0.0,param_wrong,cnn,300,2.0,50
0.0,param_wrong,cnn,301,1.0,50
0.0,param_wrong,cnn,302,1.0,50
0.0,param_wrong,mlp,300,1.0,50
0.0,param_wrong,mlp,301,1.0,50
0.0,param_wrong,mlp,302,1.0,50
0.0,param_wrong,tiny_causal_lm,300,1.0,50
0.0,param_wrong,tiny_causal_lm,301,1.0,50
0.0,param_wrong,tiny_causal_lm,302,1.0,50
0.0,param_wrong,transformer,300,2.0,50
0.0,param_wrong,transformer,301,2.0,50
0.0,param_wrong,transformer,302,1.0,50
