baseline_id,instance_id,fault_id,old_strict_success,fixed60_strict_success,changed
r_direct,NU-06-B,NU-06,True,True,False
r_direct,NU-07-A,NU-07,False,False,False
r_direct,NU-07-B,NU-07,False,False,False
r_direct,GR-01-A,GR-01,True,True,False
r_direct,GR-01-B,GR-01,True,True,False
r_direct,GR-02-A,GR-02,True,True,False
r_direct,GR-02-B,GR-02,True,True,False
r_direct,GR-03-A,GR-03,True,True,False
r_direct,GR-03-B,GR-03,True,True,False
r_direct,GR-04-A,GR-04,True,True,False
r_direct,GR-04-B,GR-04,True,True,False
r_direct,GR-05-A,GR-05,False,False,False
r_direct,GR-05-B,GR-05,False,False,False
r_direct,GR-06-A,GR-06,True,True,False
r_direct,GR-06-B,GR-06,True,True,False
r_direct,GR-07-A,GR-07,True,True,False
r_direct,GR-07-B,GR-07,True,True,False
r_direct,GR-08-A,GR-08,True,True,False
r_direct,GR-08-B,GR-08,True,True,False
r_swe,EX-01-A,EX-01,True,True,False
r_swe,EX-01-B,EX-01,True,True,False
r_swe,EX-02-A,EX-02,True,True,False
r_swe,EX-02-B,EX-02,True,True,False
r_swe,EX-03-A,EX-03,True,True,False
r_swe,EX-03-B,EX-03,True,True,False
r_swe,EX-04-A,EX-04,True,True,False
r_swe,EX-04-B,EX-04,True,True,False
r_swe,EX-05-A,EX-05,True,True,False
r_swe,EX-05-B,EX-05,True,True,False
r_swe,EX-06-A,EX-06,True,True,False
r_swe,EX-06-B,EX-06,True,True,False
r_swe,EX-07-A,EX-07,True,False,True
r_swe,EX-07-B,EX-07,True,True,False
r_swe,EX-08-A,EX-08,True,True,False
r_swe,EX-08-B,EX-08,True,True,False
r_swe,EX-09-A,EX-09,True,True,False
r_swe,EX-09-B,EX-09,True,True,False
r_swe,EX-10-A,EX-10,True,True,False
r_swe,EX-10-B,EX-10,True,True,False
r_swe,NU-01-A,NU-01,True,True,False
r_swe,NU-01-B,NU-01,True,True,False
r_swe,NU-02-A,NU-02,True,False,True
r_swe,NU-02-B,NU-02,True,True,False
r_swe,NU-03-A,NU-03,True,False,True
r_swe,NU-03-B,NU-03,False,False,False
r_swe,NU-04-A,NU-04,True,True,False
r_swe,NU-04-B,NU-04,True,True,False
r_swe,NU-05-A,NU-05,True,True,False
r_swe,NU-05-B,NU-05,True,True,False
r_swe,NU-06-A,NU-06,True,True,False
r_swe,NU-06-B,NU-06,True,True,False
r_swe,NU-07-A,NU-07,False,False,False
r_swe,NU-07-B,NU-07,False,False,False
r_swe,GR-01-A,GR-01,True,True,False
r_swe,GR-01-B,GR-01,True,False,True
r_swe,GR-02-A,GR-02,True,False,True
r_swe,GR-02-B,GR-02,True,True,False
r_swe,GR-03-A,GR-03,True,True,False
r_swe,GR-03-B,GR-03,True,True,False
r_swe,GR-04-A,GR-04,True,True,False
r_swe,GR-04-B,GR-04,True,False,True
r_swe,GR-05-A,GR-05,True,False,True
r_swe,GR-05-B,GR-05,False,False,False
r_swe,GR-06-A,GR-06,True,True,False
r_swe,GR-06-B,GR-06,True,True,False
r_swe,GR-07-A,GR-07,True,False,True
r_swe,GR-07-B,GR-07,True,True,False
r_swe,GR-08-A,GR-08,True,True,False
r_swe,GR-08-B,GR-08,True,True,False
r_matchfix,EX-01-A,EX-01,True,True,False
r_matchfix,EX-01-B,EX-01,True,True,False
r_matchfix,EX-02-A,EX-02,True,True,False
r_matchfix,EX-02-B,EX-02,True,True,False
r_matchfix,EX-03-A,EX-03,True,True,False
r_matchfix,EX-03-B,EX-03,True,True,False
r_matchfix,EX-04-A,EX-04,True,True,False
r_matchfix,EX-04-B,EX-04,True,True,False
r_matchfix,EX-05-A,EX-05,True,True,False
r_matchfix,EX-05-B,EX-05,True,True,False
r_matchfix,EX-06-A,EX-06,True,True,False
r_matchfix,EX-06-B,EX-06,True,True,False
r_matchfix,EX-07-A,EX-07,True,True,False
r_matchfix,EX-07-B,EX-07,True,True,False
r_matchfix,EX-08-A,EX-08,True,True,False
r_matchfix,EX-08-B,EX-08,True,True,False
r_matchfix,EX-09-A,EX-09,True,True,False
r_matchfix,EX-09-B,EX-09,True,True,False
r_matchfix,EX-10-A,EX-10,True,True,False
r_matchfix,EX-10-B,EX-10,True,True,False
r_matchfix,NU-01-A,NU-01,True,True,False
r_matchfix,NU-01-B,NU-01,True,True,False
r_matchfix,NU-02-A,NU-02,True,True,False
r_matchfix,NU-02-B,NU-02,True,True,False
r_matchfix,NU-03-A,NU-03,True,True,False
r_matchfix,NU-03-B,NU-03,True,True,False
r_matchfix,NU-04-A,NU-04,True,True,False
r_matchfix,NU-04-B,NU-04,True,True,False
r_matchfix,NU-05-A,NU-05,True,True,False
r_matchfix,NU-05-B,NU-05,True,True,False
r_matchfix,NU-06-A,NU-06,True,True,False
r_matchfix,NU-06-B,NU-06,True,True,False
r_matchfix,NU-07-A,NU-07,True,True,False
r_matchfix,NU-07-B,NU-07,True,True,False
r_matchfix,GR-01-A,GR-01,True,True,False
r_matchfix,GR-01-B,GR-01,True,True,False
r_matchfix,GR-02-A,GR-02,True,True,False
r_matchfix,GR-02-B,GR-02,True,True,False
r_matchfix,GR-03-A,GR-03,True,True,False
r_matchfix,GR-03-B,GR-03,True,True,False
r_matchfix,GR-04-A,GR-04,True,True,False
r_matchfix,GR-04-B,GR-04,True,True,False
r_matchfix,GR-05-A,GR-05,False,False,False
r_matchfix,GR-05-B,GR-05,False,False,False
r_matchfix,GR-06-A,GR-06,True,True,False
r_matchfix,GR-06-B,GR-06,True,True,False
r_matchfix,GR-07-A,GR-07,False,True,True
r_matchfix,GR-07-B,GR-07,True,True,False
r_matchfix,GR-08-A,GR-08,True,True,False
r_matchfix,GR-08-B,GR-08,True,True,False
