model,seed,fault,expected_signal,torch_status,torch4ms_status,torch4ms_error,torch_loss,torch4ms_loss,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine,exec_detected,numeric_detected,grad_detected,param_update_detected,minimal_signal_set,detected_by_expected_signal
mlp,201,training,grad_and_param_update,ok,ok,,1.6124745607376099,1.6124730110168457,1.5497207641601562e-06,9.610823028744418e-07,0.4035160541534424,,,,1.0,0.0,False,False,True,True,grad+param_update,True
mlp,202,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.6045408248901367,,,,0.5612777471542358,,,,,,True,False,False,False,exec,True
mlp,202,numeric,numeric,ok,ok,,1.6045408248901367,1.900783896446228,0.2962430715560913,0.15585310466379565,0.5612777471542358,0.7782775163650513,0.21699976921081543,0.27882055519773186,1.0011315532021654,0.6924923996758898,False,True,True,True,numeric+grad+param_update,True
mlp,202,training,grad_and_param_update,ok,ok,,1.6045408248901367,1.6045399904251099,8.344650268554688e-07,5.200646901038524e-07,0.5612777471542358,,,,1.0,0.0,False,False,True,True,grad+param_update,True
transformer,200,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.0961835384368896,,,,0.21091029047966003,,,,,,True,False,False,False,exec,True
transformer,200,numeric,numeric,ok,ok,,1.0961835384368896,1.735373854637146,0.6391903162002563,0.3683300370650717,0.21091029047966003,0.7048839330673218,0.49397364258766174,0.7007872068215854,2.7291600683775026,0.7063399775986691,False,True,True,True,numeric+grad+param_update,True
transformer,200,training,grad_and_param_update,ok,ok,,1.0961835384368896,1.0961835384368896,0.0,0.0,0.21091029047966003,,,,1.0,0.0,False,False,True,True,grad+param_update,True
transformer,201,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.0700221061706543,,,,0.5432375073432922,,,,,,True,False,False,False,exec,True
transformer,201,numeric,numeric,ok,ok,,1.0700221061706543,2.1933045387268066,1.1232824325561523,0.5121415711874684,0.5432375073432922,1.0643900632858276,0.5211525559425354,0.4896255366512069,1.0762985368171851,0.9392464677890611,False,True,True,True,numeric+grad+param_update,True
transformer,201,training,grad_and_param_update,ok,ok,,1.0700221061706543,1.070024847984314,2.7418136596679688e-06,2.5623831678609415e-06,0.5432375073432922,,,,1.0,0.0,False,False,True,True,grad+param_update,True
transformer,202,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.1111843585968018,,,,0.5721801519393921,,,,,,True,False,False,False,exec,True
transformer,202,numeric,numeric,ok,ok,,1.1111843585968018,2.2664191722869873,1.1552348136901855,0.5097180732567077,0.5721801519393921,1.0812197923660278,0.5090396404266357,0.47080125985550714,1.010822563492896,0.9390661013064129,False,True,True,True,numeric+grad+param_update,True
transformer,202,training,grad_and_param_update,ok,ok,,1.1111843585968018,1.1111843585968018,0.0,0.0,0.5721801519393921,,,,1.0,0.0,False,False,True,True,grad+param_update,True
tiny_causal_lm,200,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,4.386955261230469,,,,0.15621089935302734,,,,,,True,False,False,False,exec,True
tiny_causal_lm,200,numeric,numeric,ok,ok,,4.386955261230469,4.461025238037109,0.07406997680664062,0.01660380133586334,0.15621089935302734,0.17701083421707153,0.02079993486404419,0.11750656368602196,0.4590779946706032,0.9148294688445477,False,True,False,True,numeric+param_update,True
tiny_causal_lm,200,training,grad_and_param_update,ok,ok,,4.386955261230469,4.386953830718994,1.430511474609375e-06,3.260829868158127e-07,0.15621089935302734,,,,1.0,0.0,False,False,True,True,grad+param_update,True
tiny_causal_lm,201,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,4.381272315979004,,,,0.164448544383049,,,,,,True,False,False,False,exec,True
tiny_causal_lm,201,numeric,numeric,ok,ok,,4.381272315979004,4.4083075523376465,0.027035236358642578,0.006132792695987438,0.164448544383049,0.17540967464447021,0.010961130261421204,0.06248874404241279,0.4545690184093596,0.9052218041877138,False,True,False,True,numeric+param_update,True
tiny_causal_lm,201,training,grad_and_param_update,ok,ok,,4.381272315979004,4.381270408630371,1.9073486328125e-06,4.353412651060698e-07,0.164448544383049,,,,1.0,0.0,False,False,True,True,grad+param_update,True
tiny_causal_lm,202,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,4.379076957702637,,,,0.17974260449409485,,,,,,True,False,False,False,exec,True
tiny_causal_lm,202,numeric,numeric,ok,ok,,4.379076957702637,4.459530830383301,0.08045387268066406,0.018040882716298876,0.17974260449409485,0.20104804635047913,0.021305441856384277,0.10597189200855671,0.4329396378922509,0.9224937604231259,False,True,False,True,numeric+param_update,True
tiny_causal_lm,202,training,grad_and_param_update,ok,ok,,4.379076957702637,4.379075050354004,1.9073486328125e-06,4.355595143075856e-07,0.17974260449409485,,,,1.0,0.0,False,False,True,True,grad+param_update,True
