baseline_id,fault_id,grad_norm_abs_diff,instance_id,loss_abs_diff,param_update_rel_l2,step,torch4ms_grad_norm,torch4ms_loss,torch4ms_status,torch_grad_norm,torch_loss,torch_status
r_hier,EX-04,0.0,EX-04-B,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_hier,EX-05,0.0,EX-05-B,0.0,0.0,1,529.5950927734375,16.230960845947266,ok,529.5950927734375,16.230960845947266,ok
r_hier,EX-09,0.012717791134491563,EX-09-A,0.005631811392959207,13.409793964198103,1,0.013739386573433876,0.005663121119141579,ok,0.0010215954389423132,3.130972618237138e-05,ok
r_hier,EX-09,0.012717791134491563,EX-09-B,0.005631811392959207,13.409793964198103,1,0.013739386573433876,0.005663121119141579,ok,0.0010215954389423132,3.130972618237138e-05,ok
r_hier,NU-01,0.0,NU-01-A,2.9802322387695312e-08,3.812015052122635e-07,1,0.7817994356155396,0.2879709303379059,ok,0.7817994356155396,0.2879709005355835,ok
r_hier,NU-01,0.0,NU-01-B,0.0,0.0,1,1.1142230033874512,0.6504018902778625,ok,1.1142230033874512,0.6504018902778625,ok
r_hier,NU-04,0.0008540693670511246,NU-04-A,0.06259789317846298,0.8121488255575794,1,0.0005165311740711331,0.06262858957052231,ok,0.0013706005411222577,0.1252264827489853,ok
r_hier,NU-04,0.0008540693670511246,NU-04-B,0.06259789317846298,0.8121488255575794,1,0.0005165311740711331,0.06262858957052231,ok,0.0013706005411222577,0.1252264827489853,ok
r_hier,NU-06,0.0001085139811038971,NU-06-A,6.549712270498276e-05,0.1602926073648201,1,0.016820477321743965,0.010107100941240788,ok,0.016711963340640068,0.010041603818535805,ok
r_hier,NU-06,0.0001085139811038971,NU-06-B,6.549712270498276e-05,0.1602926073648201,1,0.016820477321743965,0.010107100941240788,ok,0.016711963340640068,0.010041603818535805,ok
r_hier,GR-01,0.0,GR-01-A,5.960464477539063e-08,0.0,1,0.6977111101150513,0.9945229291915894,ok,0.6977111101150513,0.9945229887962341,ok
r_hier,GR-01,5.960464477539063e-08,GR-01-B,0.0,0.0,1,0.6482442617416382,0.9507361650466919,ok,0.6482442021369934,0.9507361650466919,ok
r_hier,GR-02,0.0,GR-02-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_hier,GR-02,0.0,GR-02-B,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_hier,GR-03,0.0,GR-03-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_hier,GR-03,0.0,GR-03-B,1.1920928955078125e-07,1.4563312661973164e-08,1,0.6394991278648376,1.2661385536193848,ok,0.6394991278648376,1.2661386728286743,ok
r_hier,GR-04,0.0,GR-04-A,0.0,1.125613262245603e-07,1,0.33095645904541016,0.8475249409675598,ok,0.33095645904541016,0.8475249409675598,ok
r_hier,GR-04,5.960464477539063e-08,GR-04-B,0.0,0.0,1,0.6482442617416382,0.9507361650466919,ok,0.6482442021369934,0.9507361650466919,ok
r_hier,GR-06,0.0,GR-06-A,2.384185791015625e-07,0.8868525329895933,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_hier,GR-06,5.960464477539063e-08,GR-06-B,1.1920928955078125e-07,0.8972127170359914,1,0.7616783976554871,1.0405226945877075,ok,0.7616783380508423,1.040522575378418,ok
r_hier,GR-08,0.0,GR-08-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_hier,GR-08,0.0,GR-08-B,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_direct,EX-01,0.0,EX-01-A,5.960464477539063e-08,0.0,1,0.18239682912826538,0.998058021068573,ok,0.18239682912826538,0.9980580806732178,ok
r_direct,EX-02,1.862645149230957e-09,EX-02-A,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_direct,EX-02,1.862645149230957e-09,EX-02-B,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_direct,EX-03,0.0,EX-03-A,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_direct,EX-03,0.0,EX-03-B,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_direct,EX-04,0.0,EX-04-A,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_direct,EX-04,0.0,EX-04-B,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_direct,EX-05,0.0,EX-05-B,0.0,0.0,1,529.5950927734375,16.230960845947266,ok,529.5950927734375,16.230960845947266,ok
r_direct,EX-09,1.1641532182693481e-10,EX-09-A,1.0913936421275139e-11,0.0,1,0.0010215953225269914,3.130971526843496e-05,ok,0.0010215954389423132,3.130972618237138e-05,ok
r_direct,EX-09,1.1641532182693481e-10,EX-09-B,1.0913936421275139e-11,0.0,1,0.0010215953225269914,3.130971526843496e-05,ok,0.0010215954389423132,3.130972618237138e-05,ok
r_direct,EX-10,0.3640214204788208,EX-10-B,4.977618455886841,0.3338930080448045,1,0.7295873165130615,3.992232084274292,ok,1.0936087369918823,8.969850540161133,ok
r_direct,NU-01,0.5510069876909256,NU-01-A,0.248583123087883,0.9350879593883165,1,0.23079244792461395,0.0393877774477005,ok,0.7817994356155396,0.2879709005355835,ok
