api_cost_usd,attempts,baseline_id,blind,bridge_clean_control_reason,bridge_clean_control_status,compile_status,completion_tokens,covered,effective_rounds,execution_status,expected_model_variant,failure_reason,fault_id,fault_layer,fault_triggered,final_patch,formal_table1_evidence,gradient_status,instance_id,instance_label,layer,low_hint,max_grad_norm_abs_diff,max_loss_abs_diff,max_param_update_rel_l2,model,model_binding_valid,model_id,model_name,model_variant,numerical_status,observed_model_variants,oracle,out_of_scope_edit_count,paired_adapter,paired_evidence_tier,paired_failure_reason,paired_replay_status,paired_steps,passed,patch_count,prompt_tokens,raw_report,real_llm,regression_passed,repair_at_1,repair_at_2,repair_at_4,repair_attempts,repair_round,restore_status,runner_case,runner_error,scope,strict_success,strict_success_paired,strict_success_paired_isolated,task_id,torch4ms_status,torch_status,total_tokens,update_status,validation_status,wall_time_sec,workload_fingerprint
,3,r_exec,True,,pass,,,,3,,mlp,,NU-01,,True,,True,,NU-01-A,A,numerical,False,0.0,2.9802322387695312e-08,3.812015052122635e-07,,True,M2,Image MLP,mlp,,mlp,candidate residual numeric probe,,torch4ms_model_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,NU-01,,candidate,True,True,,,ok,ok,,,verified_restored,26.671474,e9524ef2c561cf7df8094341ff26fb99f19e65c2990310442e034ecb2dc96005
,1,r_exec,True,,pass,,,,1,,causal_lm,,NU-01,,True,,True,,NU-01-B,B,numerical,False,0.0,0.0,0.0,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,candidate residual numeric probe,,torch4ms_model_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,NU-01,,candidate,True,True,,,ok,ok,,,verified_restored,9.206136,bc53ff5c22beaf0e7b28d32b2a751b60b778520ea46756ea30e36774a0209748
,4,r_exec,True,,pass,,,,4,,transformer,repair_budget_exhausted,NU-02,,True,,True,,NU-02-A,A,numerical,False,,,,,True,M3,Transformer Classifier,transformer,,transformer,paired numeric softmax probe,,,torch4ms_bridge_training,TypeError: unsupported operand type(s) for -: 'float' and 'NoneType',torch4ms_bridge_candidate_failed,0,False,0,,,True,False,,,,,,True,,,candidate,False,False,,,failed,ok,,,rolled_back,9.671046,776e2be4f443ac3f1c13f77972d93dbf7420c3bd50e592e9ab7ba869c446d1ae
,2,r_exec,True,,pass,,,,2,,causal_lm,,NU-02,,True,,True,,NU-02-B,B,numerical,False,1.964508555829525e-10,1.4901161193847656e-08,0.0,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,paired numeric softmax probe,,torch4ms_model_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,,,candidate,True,True,,,ok,ok,,,verified_restored,15.894014,f1a9d6afadb277898457f776927cb08c384d498947dee584605fbfd45bb8d9e8
,4,r_exec,True,,pass,,,,4,,cnn,repair_budget_exhausted,NU-03,,True,,True,,NU-03-A,A,numerical,False,,,,,True,M1,CNN,cnn,,cnn,boolean SDPA mask private probe,,,,"ntext', 'enable_graph_kernel' parameter is deprecated, and will be removed in the next version. Please use jit_config={'jit_level': 'O1'} instead.
INFO:torch4ms.ms_config:Initialized MindSpore with configuration: {'device_target': 'CPU', 'mode': 0, 'device_id': 0, 'enable_graph_kernel': False}
WARNING:root:Duplicate op registration for aten.reshape
WARNING:root:Duplicate op registration for aten.narrow
WARNING:root:Duplicate op registration for aten.select
WARNING:root:Duplicate op registration for aten.index_select
WARNING:root:Duplicate op registration for aten.masked_fill
WARNING:root:Duplicate op registration for aten.scatter
WARNING:root:Duplicate op registration for aten.scatter_add
[WARNING] ME(594473:129393521411904,MainProcess):2026-08-31-17:13:28.308.945 [mindspore/context.py:1334] For 'context.set_context', the parameter 'device_target' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
{""case"": ""NU-03"", ""model_variant"": ""mlp"", ""ok"": false, ""finite"": true, ""max_abs_diff"": 1.0624159574508667, ""expected_shape"": [1, 2, 3, 5], ""actual_shape"": [1, 2, 3, 5], ""expected_dtype"": ""torch.float32"", ""actual_dtype"": ""torch.float32""}
",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,NU-03,,core_operator,False,False,,,failed,ok,,,,85.951193,aa1d42cc89879ceb99bbff8280aaab53f02722c420162bb13b4954dd846abd96
,4,r_exec,True,,pass,,,,4,,mlp,repair_budget_exhausted,NU-03,,True,,True,,NU-03-B,B,numerical,False,,,,,True,M2,Image MLP,mlp,,mlp,boolean SDPA mask private probe,,,,TypeError: __new__() missing 1 required positional argument: 'env',torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,NU-03,,core_operator,False,False,,,failed,ok,,,,172.63591,115be3cab2dbba8d15f316f8483af5f4b03fbf76f464b9e921306d6e9efb20f2
,1,r_exec,True,,pass,,,,1,,cnn,,NU-04,,True,,True,,NU-04-A,A,numerical,False,0.0,0.0,0.0,,True,M1,CNN,cnn,,cnn,core mask fill value numeric probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,NU-04,,core_operator,True,True,,,ok,ok,,,verified_restored,5.152627,3f22c2627ab6dd996bb04f59c2db240e90456fc5c0af331981008dd351287b63
,1,r_exec,True,,pass,,,,1,,transformer,,NU-04,,True,,True,,NU-04-B,B,numerical,False,0.0,0.0,0.0,,True,M3,Transformer Classifier,transformer,,transformer,core mask fill value numeric probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,NU-04,,core_operator,True,True,,,ok,ok,,,verified_restored,6.580089,85673f2b4c5a286e8e9fb18741cb770f4d9906af2e392d73bd2cc8f360c8eba0
,4,r_exec,True,,pass,,,,4,,cnn,repair_budget_exhausted,NU-05,,True,,True,,NU-05-A,A,numerical,False,,,,,True,M1,CNN,cnn,,cnn,SDPA scaling private probe,,,,"SyntaxError: invalid syntax (mtorch.py, line 314)",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,NU-05,,core_operator,False,False,,,failed,ok,,,,106.878452,56f5ee45fcd5a9b510717748afd1ebcc1e02e87e051da276c9d20b57895c2fb6
,4,r_exec,True,,pass,,,,4,,causal_lm,repair_budget_exhausted,NU-05,,True,,True,,NU-05-B,B,numerical,False,,,,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,SDPA scaling private probe,,,,"ss):2026-08-31-17:14:26.763.294 [mindspore/context.py:1578] For 'context.set_context', 'enable_graph_kernel' parameter is deprecated, and will be removed in the next version. Please use jit_config={'jit_level': 'O1'} instead.
INFO:torch4ms.ms_config:Initialized MindSpore with configuration: {'device_target': 'CPU', 'mode': 0, 'device_id': 0, 'enable_graph_kernel': False}
WARNING:root:Duplicate op registration for aten.reshape
WARNING:root:Duplicate op registration for aten.narrow
WARNING:root:Duplicate op registration for aten.select
WARNING:root:Duplicate op registration for aten.index_select
WARNING:root:Duplicate op registration for aten.masked_fill
WARNING:root:Duplicate op registration for aten.scatter
WARNING:root:Duplicate op registration for aten.scatter_add
[WARNING] ME(597234:137430733698880,MainProcess):2026-08-31-17:14:26.842.185 [mindspore/context.py:1334] For 'context.set_context', the parameter 'device_target' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
{""case"": ""NU-05"", ""model_variant"": ""mlp"", ""ok"": false, ""finite"": true, ""max_abs_diff"": 0.38156890869140625, ""expected_shape"": [2, 3], ""actual_shape"": [2, 3]}
",torch4ms_core_candidate_failed,,False,0,,,True,False,,,,,,True,NU-05,,core_operator,False,False,,,failed,ok,,,,98.10152,149bcdd6b8b85b011bbe676aadfc6d647ff9f4a7eb5d582c31dc144deda98450
